V = [
	[0.0, 80.64077647324419, 24.740529800437116, 105.33498232257986, 250.11817217196798, 320.44164995705455, 290.2785777213168, 4.765397361865254, 7.97773101285297, 303.38131243561753],
	[80.64077647324419, 0.0, 46.71358674486028, 111.49782982650662, 46.88324579452414, 148.45374592378468, 171.8260961149562, 121.01449877463422, 57.85513078033193, 73.47663498846258],
	[24.740529800437116, 46.71358674486028, 0.0, 32.55296821147891, 167.55759197090038, 170.2251689251764, 145.53541134659886, 35.60551249906422, 38.376076284458264, 199.41126345397487],
	[105.33498232257986, 111.49782982650662, 32.55296821147891, 0.0, 214.2547082966346, 101.22670848542434, 60.743984853066756, 109.39113871484386, 141.27529158433728, 225.89847704048222],
	[250.11817217196798, 46.88324579452414, 167.55759197090038, 214.2547082966346, 0.0, 113.98109374837132, 176.03771878074306, 316.57511091443683, 206.36653046517918, 4.640732182645652],
	[320.44164995705455, 148.45374592378468, 170.2251689251764, 101.22670848542434, 113.98109374837132, 0.0, 12.368138813534136, 360.7545435291607, 329.96308619479987, 90.91053468660225],
	[290.2785777213168, 171.8260961149562, 145.53541134659886, 60.743984853066756, 176.03771878074306, 12.368138813534136, 0.0, 315.3619721420038, 318.3941642047641, 155.99466145035768],
	[4.765397361865254, 121.01449877463422, 35.60551249906422, 109.39113871484386, 316.57511091443683, 360.7545435291607, 315.3619721420038, 0.0, 23.638436642742537, 372.8750890851167],
	[7.97773101285297, 57.85513078033193, 38.376076284458264, 141.27529158433728, 206.36653046517918, 329.96308619479987, 318.3941642047641, 23.638436642742537, 0.0, 261.5525628075959],
	[303.38131243561753, 73.47663498846258, 199.41126345397487, 225.89847704048222, 4.640732182645652, 90.91053468660225, 155.99466145035768, 372.8750890851167, 261.5525628075959, 0.0]
];
