nbVertex = 20;
c = [
	[0.0, 113.67379795070165, 97.6448402443365, 98.04942513536024, 148.37195326387018, 100.2302741264075, 54.03666402997941, 140.48595808037913, 82.1671956169594, 151.97361568189837, 140.15697387580073, 147.74240313022813, 149.98289715211885, 51.19366573226368, 104.68330479900675, 70.01065430572217, 93.83162599311208, 124.28355913751977, 78.0953084836354, 78.65694413438962],
	[113.67379795070165, 0.0, 112.10789304896707, 73.58721029691252, 128.8035720890667, 116.2465266348938, 132.13602013774346, 30.485180406361888, 153.3614754957139, 167.91893980500504, 221.51033100571402, 80.56589067816135, 170.46839103561655, 91.95153333232066, 197.86872122306443, 104.1078850261113, 21.696607163948734, 116.30366446716376, 72.5587695129527, 64.90400987736798],
	[97.6448402443365, 112.10789304896707, 0.0, 40.232580749712646, 52.529127550768344, 4.226829436842328, 60.89185563430052, 141.23089232298898, 60.818628051151684, 61.28372962744783, 120.53186736849158, 81.15708985474663, 61.90958254733512, 48.40983359732649, 110.89626891823764, 27.64086324998556, 93.87928191746254, 28.476004327072715, 137.85267140326616, 132.7820191878967],
	[98.04942513536024, 73.58721029691252, 40.232580749712646, 0.0, 61.95225996260163, 44.08707072343462, 82.93741542988295, 101.74933031842994, 93.89099160308295, 94.54304815309722, 158.5289918987671, 51.88116830136008, 96.9115660211082, 49.39295221914438, 143.5483704579081, 44.581985204675526, 57.76379402238458, 44.11908076164745, 113.13991152410061, 106.76027343919331],
	[148.37195326387018, 128.8035720890667, 52.529127550768344, 61.95225996260163, 0.0, 51.3734500983564, 112.88931828090882, 152.43552262633582, 107.11437763029774, 51.9250986923919, 153.34441157142285, 62.40697280824949, 57.467206631253866, 97.4261122605489, 154.33815086608485, 79.32044268133923, 117.24368988328688, 24.27311303824967, 175.05328931426155, 168.71210685870372],
	[100.2302741264075, 116.2465266348938, 4.226829436842328, 44.08707072343462, 51.3734500983564, 0.0, 61.54778705893659, 145.29773323618696, 59.49232815302965, 57.285591846859944, 117.72058756474766, 83.48366561369924, 57.786542265456035, 51.648973105881915, 109.30535641059866, 30.300760883208863, 98.08837696061705, 27.812022561197924, 141.83866328616142, 136.82415935090958],
	[54.03666402997941, 132.13602013774346, 60.89185563430052, 82.93741542988295, 112.88931828090882, 61.54778705893659, 0.0, 162.3820285748261, 28.57417199077382, 103.18469835157474, 93.19669724098435, 134.0203574511079, 100.13339355390984, 40.42561012087161, 65.7327364426089, 38.97725687220953, 110.46166546624688, 89.25067392115609, 123.1659623150975, 121.25115896748603],
	[140.48595808037913, 30.485180406361888, 141.23089232298898, 101.74933031842994, 152.43552262633582, 145.29773323618696, 162.3820285748261, 0.0, 183.84639391766828, 194.92842827744653, 251.99227639161998, 97.16946140484619, 197.91762138512468, 122.32449951234989, 228.10043401892167, 134.49237854105718, 51.97560198719042, 142.7125821541663, 85.7718819996186, 78.95250747865785],
	[82.1671956169594, 153.3614754957139, 60.818628051151684, 93.89099160308295, 107.11437763029774, 59.49232815302965, 28.57417199077382, 183.84639391766828, 0.0, 84.89148009828564, 68.24925200032045, 141.2176237560791, 80.59920672126736, 62.42583420928236, 50.25420872592406, 50.75352215008331, 132.05423826558604, 86.02133716680157, 151.1223102924785, 148.84173397378765],
	[151.97361568189837, 167.91893980500504, 61.28372962744783, 94.54304815309722, 51.9250986923919, 57.285591846859944, 103.18469835157474, 194.92842827744653, 84.89148009828564, 0.0, 110.61805502642973, 112.81865579696037, 6.474007414581107, 107.47017486149207, 122.09015022474729, 85.1989215895901, 152.01729918133262, 52.34939507762577, 199.122943665136, 194.05914120283435],
	[140.15697387580073, 221.51033100571402, 120.53186736849158, 158.5289918987671, 153.34441157142285, 117.72058756474766, 93.19669724098435, 251.99227639161998, 68.24925200032045, 110.61805502642973, 0.0, 200.9080768729079, 104.22388384100125, 130.58530964729442, 39.9782161458631, 117.98135663429485, 200.27359919691412, 138.58595563470467, 215.32812638856714, 213.9575948659261],
	[147.74240313022813, 80.56589067816135, 81.15708985474663, 51.88116830136008, 62.40697280824949, 83.48366561369924, 134.0203574511079, 97.16946140484619, 141.2176237560791, 112.81865579696037, 200.9080768729079, 0.0, 117.62428318839999, 101.05854971722808, 191.47112320203846, 95.09769642646592, 78.21695648595738, 64.44716216026296, 144.12417644071692, 136.665615426179],
